"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN099999901","PORT BLAIR, IN","2000-01-01","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-01-02","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-01-03","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-01-04","82","87","74"
"IN099999901","PORT BLAIR, IN","2000-01-05","81","87",
"IN099999901","PORT BLAIR, IN","2000-01-06","81","85",
"IN099999901","PORT BLAIR, IN","2000-01-07","80","85","74"
"IN099999901","PORT BLAIR, IN","2000-01-08","80","85","75"
"IN099999901","PORT BLAIR, IN","2000-01-09","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-01-10","80","86","73"
"IN099999901","PORT BLAIR, IN","2000-01-11","79","87",
"IN099999901","PORT BLAIR, IN","2000-01-12","78","86","71"
"IN099999901","PORT BLAIR, IN","2000-01-13","81",,"71"
"IN099999901","PORT BLAIR, IN","2000-01-14","79","86",
"IN099999901","PORT BLAIR, IN","2000-01-15","78","86","67"
"IN099999901","PORT BLAIR, IN","2000-01-16","78","85","67"
"IN099999901","PORT BLAIR, IN","2000-01-17","79",,"69"
"IN099999901","PORT BLAIR, IN","2000-01-18","79","85","69"
"IN099999901","PORT BLAIR, IN","2000-01-19","77","85","66"
"IN099999901","PORT BLAIR, IN","2000-01-20","78","85","68"
"IN099999901","PORT BLAIR, IN","2000-01-21","81","87","73"
"IN099999901","PORT BLAIR, IN","2000-01-22","82","87","74"
"IN099999901","PORT BLAIR, IN","2000-01-23","82","87",
"IN099999901","PORT BLAIR, IN","2000-01-24","79","87",
"IN099999901","PORT BLAIR, IN","2000-01-25","81",,"68"
"IN099999901","PORT BLAIR, IN","2000-01-26","82","88","74"
"IN099999901","PORT BLAIR, IN","2000-01-27","79","84","72"
"IN099999901","PORT BLAIR, IN","2000-01-28","81","85","69"
"IN099999901","PORT BLAIR, IN","2000-01-29","81","86","70"
"IN099999901","PORT BLAIR, IN","2000-01-30","82","87","73"
"IN099999901","PORT BLAIR, IN","2000-01-31","80","87","74"
"IN099999901","PORT BLAIR, IN","2000-02-01","81","86","74"
"IN099999901","PORT BLAIR, IN","2000-02-02","81","86","75"
"IN099999901","PORT BLAIR, IN","2000-02-03","80","87","74"
"IN099999901","PORT BLAIR, IN","2000-02-04","80","87","73"
"IN099999901","PORT BLAIR, IN","2000-02-05","77","84","67"
"IN099999901","PORT BLAIR, IN","2000-02-06","79","86","66"
"IN099999901","PORT BLAIR, IN","2000-02-07","80","87","67"
"IN099999901","PORT BLAIR, IN","2000-02-08","78","85","69"
"IN099999901","PORT BLAIR, IN","2000-02-09","77",,"68"
"IN099999901","PORT BLAIR, IN","2000-02-10","77","85","67"
"IN099999901","PORT BLAIR, IN","2000-02-11","77","86","67"
"IN099999901","PORT BLAIR, IN","2000-02-12","79","85","67"
"IN099999901","PORT BLAIR, IN","2000-02-13","79","86","67"
"IN099999901","PORT BLAIR, IN","2000-02-14","79","88","67"
"IN099999901","PORT BLAIR, IN","2000-02-15","79","88","69"
"IN099999901","PORT BLAIR, IN","2000-02-16","81","87","72"
"IN099999901","PORT BLAIR, IN","2000-02-17","83",,"75"
"IN099999901","PORT BLAIR, IN","2000-02-18","77",,
"IN099999901","PORT BLAIR, IN","2000-02-19","79","86","72"
"IN099999901","PORT BLAIR, IN","2000-02-20","80","87","71"
"IN099999901","PORT BLAIR, IN","2000-02-21","80","87","71"
"IN099999901","PORT BLAIR, IN","2000-02-22","80","87","71"
"IN099999901","PORT BLAIR, IN","2000-02-23","80","89","71"
"IN099999901","PORT BLAIR, IN","2000-02-24","81","87","70"
"IN099999901","PORT BLAIR, IN","2000-02-25","80","87","72"
"IN099999901","PORT BLAIR, IN","2000-02-26","80","87",
